epoch,step,train_loss_epoch,train_loss_step,train_mae,train_mape
0,49,,1138217582592.0,,
0,99,,11385252864.0,,
0,149,,4065162496.0,,
0,199,,3916121600.0,,
0,249,,3448136960.0,,
0,299,,3086102784.0,,
0,299,10301293461504.0,,896059.375,13683491078144.0
1,349,,2731780864.0,,
1,399,,2440008448.0,,
1,449,,2314810368.0,,
1,499,,1953343232.0,,
1,549,,1579318400.0,,
1,599,,1515055616.0,,
1,599,2203224320.0,,25787.166015625,396278104064.0
2,649,,1130667520.0,,
2,699,,931740928.0,,
2,749,,727060096.0,,
2,799,,370315840.0,,
2,849,,212474176.0,,
2,899,,255605456.0,,
2,899,727385024.0,,15684.7705078125,242151997440.0
3,949,,251868000.0,,
3,999,,155278576.0,,
3,1049,,122810072.0,,
3,1099,,104754232.0,,
3,1149,,344453792.0,,
3,1199,,136414400.0,,
3,1199,181700160.0,,9320.8837890625,146901647360.0
4,1249,,146193216.0,,
4,1299,,174744448.0,,
4,1349,,183186176.0,,
4,1399,,91386416.0,,
4,1449,,86844408.0,,
4,1499,,184194336.0,,
4,1499,155501584.0,,8745.5439453125,137410912256.0
5,1549,,199639024.0,,
5,1599,,458933664.0,,
5,1649,,157164896.0,,
5,1699,,301121120.0,,
5,1749,,243397760.0,,
5,1799,,79643008.0,,
5,1799,171621712.0,,9704.3662109375,152043323392.0
6,1849,,91451272.0,,
6,1899,,126044960.0,,
6,1949,,308668128.0,,
6,1999,,152441968.0,,
6,2049,,195127904.0,,
6,2099,,441935872.0,,
6,2099,226566176.0,,11405.7041015625,176453943296.0
7,2149,,180371760.0,,
7,2199,,75901312.0,,
7,2249,,205032960.0,,
7,2299,,72226072.0,,
7,2349,,92486168.0,,
7,2399,,86696160.0,,
7,2399,191946800.0,,10631.6484375,164398727168.0
8,2449,,86401832.0,,
8,2499,,135427920.0,,
8,2549,,256885072.0,,
8,2599,,164736736.0,,
8,2649,,65123356.0,,
8,2699,,658969792.0,,
8,2699,385041568.0,,15561.1640625,238111768576.0
9,2749,,331293792.0,,
9,2799,,53486048.0,,
9,2849,,397043744.0,,
9,2899,,65117392.0,,
9,2949,,314573568.0,,
9,2999,,569990144.0,,
9,2999,1711271936.0,,29337.767578125,446505451520.0
10,3049,,334620448.0,,
10,3099,,4195453184.0,,
10,3149,,880595776.0,,
10,3199,,417797728.0,,
10,3249,,58725552128.0,,
10,3299,,337331584.0,,
10,3299,5415652352.0,,48186.734375,738295349248.0
11,3349,,398063040.0,,
11,3399,,6490447872.0,,
11,3449,,88606936.0,,
11,3499,,54899028.0,,
11,3549,,829103616.0,,
11,3599,,1350213248.0,,
11,3599,11409502208.0,,68273.4765625,1040149774336.0
12,3649,,44756172.0,,
12,3699,,2283377152.0,,
12,3749,,24099837952.0,,
12,3799,,107075104.0,,
12,3849,,5223546880.0,,
12,3899,,8123325952.0,,
12,3899,12095702016.0,,58073.33984375,889532383232.0
13,3949,,6989949952.0,,
13,3999,,135201952.0,,
